uniprotID_A|uniprotID_B|isInteraction|trainTest
P28223|P41595|1|test
O00161|P56962|1|train
P82979|Q01081|1|train
O60678|Q14524|1|train
P10275|Q15648|1|train
P05413|P05556|1|train
Q14524|Q99873|1|train
O95573|P56962|1|test
P08588|P21917|1|test
O75365|P67936|1|train
P21917|P35368|1|test
P61586|Q969H4|1|train
P17948|P46109|1|train
P00533|P30530|1|train
P17844|Q01780|1|train
P02795|Q13585|1|train
P29474|P35222|1|test
Q96A49|Q99608|1|train
P08913|P18825|1|train
Q99608|Q9BPZ3|1|test
P17661|Q9UBX2|1|train
O94829|Q9UBX2|1|train
O75914|P63000|1|test
O75342|Q9BYJ1|1|train
P26368|P82979|1|train
O14745|Q9BYF1|1|train
P13569|P16615|1|train
P20338|P50395|1|train
P07602|P31944|1|test
P30531|Q9H3Z4|1|train
P10275|Q6KC79|1|train
P08621|Q07955|1|test
Q99707|Q9Y4U1|1|train
Q8TDN4|Q9H3D4|1|test
P10275|Q9NPF5|1|train
P04626|P15309|1|train
P06213|P22413|1|train
P60484|Q16643|1|test
P10636|Q9NY61|1|test
P11021|P31749|1|train
P28335|P48039|1|train
Q01484|Q8N960|1|train
P28335|P41595|1|train
P35968|Q14114|1|train
P51681|Q16570|1|train
O43474|P10275|1|train
P15941|P26368|1|train
O60840|P57796|1|test
P29350|P32927|1|test
P07195|Q93050|1|train
P78381|Q9Y2D2|1|train
P10275|Q9Y253|1|train
P03372|Q92731|1|test
P08173|P28335|1|train
P16144|Q99500|1|test
O94916|Q92841|1|train
P10275|Q93074|1|train
Q92692|Q9H3Z4|1|train
P55072|Q5T124|1|train
Q14774|Q15022|1|test
Q6DN90|Q96Q42|1|train
Q9NS75|Q9Y271|1|train
Q969W0|Q9NUV7|1|test
Q8NFR3|Q9NUV7|1|test
P43308|Q86WV6|1|train
P43034|Q14203|1|train
Q6ZVM7|Q9UM54|1|train
Q9NVA2|Q9UHD8|1|test
Q15172|Q562F6|1|test
Q15019|Q9UHD8|1|train
P09429|P0CG48|1|train
P51151|Q9NQG7|1|train
O75190|P11142|1|train
O95801|Q99741|1|train
P68036|Q9NPC3|1|train
O95801|P11142|1|train
P07949|P40763|1|train
Q16181|Q9UHD8|1|train
O15269|Q9NUV7|1|test
O75400|Q15637|1|test
Q9UL25|Q9UPN3|1|train
P49454|Q8WUM0|1|train
Q6QNY1|Q8TDH9|1|test
P11362|P46108|1|train
Q6QNY0|Q6QNY1|1|train
O43303|Q8NHV4|1|train
O60303|Q13099|1|test
P01106|P58317|1|test
Q5VYV7|Q8IY92|1|train
O75665|Q8IUD2|1|test
P78362|Q8IYB3|1|train
O14818|Q9Y244|1|train
P20823|Q9UBS8|1|train
P49810|Q53EL6|1|train
O15259|Q68CZ1|1|test
P49768|P50502|1|test
P29474|P50502|1|test
Q5VIR6|Q9P1Q0|1|train
O14514|O94812|1|train
P09429|P60866|1|train
O60303|Q9H079|1|train
P41240|Q8NHL6|1|train
P02649|P50502|1|test
P02649|Q16543|1|train
Q13509|Q5S007|1|train
P49768|Q16543|1|train
P45973|Q6KC79|1|test
P49768|Q92947|1|test
P09429|P25398|1|test
P06213|Q9NRF2|1|train
P78362|Q9NR30|1|test
P78362|Q13310|1|train
P02649|Q53EL6|1|test
P49810|Q14204|1|train
P07949|P19174|1|test
O14879|P05067|1|train
Q7Z7G1|Q9UHJ3|1|train
P51668|Q9NZS9|1|train
O43566|P63096|1|train
P48552|Q04917|1|test
Q53EZ4|Q8IWB6|1|train
O15524|P27986|1|test
Q96B02|Q9NZS9|1|train
Q7Z7G1|Q92569|1|train
O00267|Q9Y6D9|1|train
Q9UGJ1|Q9UKJ5|1|train
O95500|Q9HB21|1|train
Q15645|Q9BV99|1|train
O76003|P15976|1|train
Q7Z6G3|Q9Y6C2|1|train
Q15645|Q9UI95|1|train
Q08379|Q13077|1|train
P35590|Q99750|1|train
Q9H4I2|Q9NP31|1|train
Q8IUQ4|Q9BYG5|1|test
Q14738|Q15172|1|test
P15976|Q8ND90|1|train
O95073|P25786|1|test
P14770|Q92624|1|train
O43257|O60880|1|test
Q96MA1|Q96PV6|1|test
Q8IYF3|Q9Y333|1|train
O76003|P41182|1|train
P62993|Q8IZQ1|1|train
P35372|Q9H3M0|1|train
P06400|Q5R372|1|test
P22681|P42229|1|train
P46108|Q9Y3I0|1|test
O75604|Q92569|1|train
P34897|Q9UHP7|1|test
O15287|P15976|1|train
O43561|Q8N6L0|1|train
P35568|P49757|1|train
P35711|Q03989|1|train
O15287|Q8IYA8|1|test
P46108|Q5H9J7|1|train
P26651|Q13643|1|train
Q9H6L4|Q9UBB9|1|train
O15460|Q8IZW8|1|train
Q9UIH9|Q9UKG1|1|test
P60880|Q9Y3C0|1|train
P98170|Q08379|1|train
Q92569|Q9BRX2|1|train
Q3KNS6|Q9UKG1|1|test
Q9NR55|Q9UKG1|1|test
O15287|Q9Y2V7|1|train
P27986|P43626|1|train
O95551|Q9BX70|1|test
O15287|P13646|1|test
Q13485|Q96F07|1|train
P36406|Q9NTK1|1|train
P04198|Q13287|1|test
Q6ZMI0|Q9NP31|1|train
Q49A88|Q92569|1|train
O00267|Q53EZ4|1|train
Q7L591|Q9P104|1|test
O76003|Q96PX9|1|train
Q9NYJ8|Q9Y6K9|1|train
O76003|Q96IK5|1|train
Q8N485|Q8NEU8|1|train
O14543|Q13061|1|test
P34897|Q8N6L0|1|test
Q8NEU8|Q8NEZ4|1|test
O43889|P55058|1|test
Q53HC0|Q9Y2V7|1|train
Q6UY14|Q9Y467|1|train
Q86VK4|Q8ND90|1|train
P45973|Q92560|1|train
Q9P104|Q9UIL1|1|test
Q86UA6|Q8IZW8|1|train
P43626|Q06124|1|test
P63279|Q12800|1|train
Q8IVP5|Q9H0R8|1|train
Q53G59|Q6UUV7|1|test
P15976|Q92530|1|test
O43929|Q92781|1|train
O43307|Q8IYA8|1|test
O43307|P41182|1|train
Q6A162|Q9ULM2|1|test
P35998|P38936|1|train
Q13131|Q96L93|1|test
Q13136|Q8NHQ1|1|train
Q8N6Y0|Q9NX63|1|test
P03372|Q9NPJ4|1|test
Q13322|Q9UQB8|1|train
O95551|Q9UBB9|1|test
O76003|Q99750|1|train
O76003|Q08117|1|test
O75970|P28335|1|train
Q92569|Q92625|1|test
Q8NEU8|Q9BVC4|1|train
P20700|P36956|1|test
P53611|Q96AX2|1|test
Q14494|Q9NVD7|1|test
P40763|Q86WK9|1|train
Q15435|Q7Z7G1|1|test
O43915|Q15836|1|train
Q15323|Q5VU43|1|train
P61421|Q08117|1|test
Q8N448|Q9P0N9|1|train
Q8ND90|Q9Y333|1|test
O75553|Q68DK2|1|train
Q6NUQ1|Q8WWY3|1|test
P15976|Q13077|1|train
O95050|Q8N448|1|train
Q03989|Q9BQY4|1|train
Q14449|Q9P289|1|test
P60329|Q03989|1|train
P16333|Q92569|1|train
P36406|Q9UNA4|1|test
O75461|Q92569|1|train
P08069|Q14449|1|test
O75791|Q8ND90|1|test
P07947|Q14457|1|train
O43307|Q9UBB9|1|train
P56705|Q96HE8|1|train
O43741|Q8ND90|1|train
P41182|Q8IYA8|1|test
P61289|P62256|1|train
Q63HR2|Q8IYA8|1|test
P61421|Q8IYA8|1|test
A6NJ69|Q13387|1|test
P61289|Q86YD7|1|train
P61088|Q86Y13|1|test
O95182|Q99750|1|train
P01732|P06493|1|train
Q16718|Q9Y2V7|1|train
O15162|Q5T5A8|1|train
P23497|Q03060|1|test
Q8N0S2|Q9UBB9|1|train
Q08379|Q53HC0|1|train
Q9NP31|Q9UKG1|1|test
Q8TAX7|Q9BSM1|1|test
Q5JST6|Q9UGJ1|1|train
P10809|P16885|1|train
A1A4S6|P78314|1|train
Q96CS2|Q96ED9|1|train
P29972|Q6UY14|1|train
P62993|Q9H7T9|1|test
Q13285|Q9NPJ4|1|test
P11277|Q9NP31|1|train
Q96HE7|Q9UH73|1|train
P78560|Q9Y5W5|1|train
O76003|Q8IYA8|1|test
Q92560|Q9ULV8|1|train
O76003|Q8N448|1|train
