uniprotID_A|uniprotID_B|isInteraction|trainTest
P04050|P38827|1|test
P15019|P53228|1|train
P46970|Q03214|1|train
P17558|P38972|1|train
P53173|Q12234|1|train
P32335|P32898|1|train
P22216|P47171|1|train
P04911|Q06266|1|test
P04911|Q12492|1|train
P47054|Q06625|1|test
P32528|P32571|1|test
P38972|Q01163|1|train
P39015|P40522|1|test
P33302|Q03714|1|test
P25270|P36531|1|train
P23201|Q06218|1|test
P38111|Q06708|1|test
P09119|Q12154|1|test
P32590|Q12125|1|test
P31374|Q05021|1|train
P32899|Q07897|1|train
P32264|P42826|1|test
P11745|P31373|1|train
P36049|P40084|1|test
P36126|P53185|1|train
P38753|P40351|1|test
P47068|Q02256|1|train
P29366|Q12271|1|test
P38590|P47068|1|train
P47068|P50077|1|test
P04050|P47068|1|train
P38822|Q02776|1|test
P22580|P29366|1|test
P47068|P53169|1|test
P29366|P40563|1|train
P29366|Q05924|1|train
P21734|P29366|1|train
P38129|Q06449|1|train
P38810|P47068|1|train
P11710|P39960|1|train
P47068|Q12168|1|train
P43603|Q03619|1|train
P47068|Q06604|1|test
P38753|P47043|1|test
P36531|P47068|1|train
P35172|P47068|1|train
P47068|P53037|1|train
P29366|Q07505|1|train
P39969|Q12153|1|train
Q06449|Q07657|1|train
P17442|Q07533|1|train
P29366|P38181|1|train
P43603|Q12088|1|train
P32873|P40073|1|test
P43603|Q99337|1|train
P29366|P53933|1|train
P17555|Q04439|1|train
P29366|Q12446|1|train
P29366|Q03780|1|train
P38041|P50111|1|train
P29366|Q04439|1|train
P07245|P38753|1|train
P40325|P47068|1|train
P29366|Q12166|1|train
P47068|Q08957|1|test
A0A023PXA5|P47068|1|train
P38753|P53094|1|train
P39521|P47068|1|train
P29366|P47032|1|test
P29366|P37370|1|test
P47068|Q12069|1|train
P38753|P47114|1|train
P29366|Q12342|1|test
P38140|P53281|1|train
P32790|P40483|1|train
P07149|P53281|1|train
P36036|P39743|1|train
P36036|Q06449|1|train
Q06412|Q12163|1|test
P28584|P53281|1|test
P29366|Q06412|1|train
P38822|Q06412|1|train
P32790|Q12168|1|train
P32463|Q12163|1|train
P53281|P53318|1|train
P39743|Q04749|1|test
P32790|Q06833|1|train
P29366|P36080|1|train
P40073|Q04749|1|test
P41833|P47068|1|test
P36122|P39743|1|train
P32793|Q07824|1|train
Q04195|Q05080|1|test
P32790|Q12344|1|train
P32790|P80667|1|train
P53901|Q06449|1|train
Q06315|Q07533|1|train
P39743|Q06836|1|train
P39743|Q12339|1|train
P39743|P40020|1|test
P40020|P40073|1|test
P53331|Q07533|1|train
P53169|P53281|1|test
Q03921|Q06449|1|train
P53118|Q06449|1|train
P15891|P47068|1|train
P40073|Q99271|1|test
P53169|Q06449|1|test
P53169|Q07533|1|test
P38753|P40959|1|train
P29539|P53281|1|test
P53161|Q06449|1|train
P32790|Q04322|1|train
P39535|Q06449|1|test
P53281|Q06604|1|test
P40085|P53281|1|train
P40085|Q06449|1|train
P39722|P39969|1|test
P40364|Q06449|1|train
P53238|Q12163|1|train
P38270|Q12163|1|train
P32481|P32790|1|test
P53281|Q03691|1|train
Q03780|Q07533|1|train
P32621|P38753|1|train
P39969|Q12163|1|train
P39743|P53118|1|train
P36019|Q12163|1|test
Q12163|Q12400|1|train
Q12163|Q6Q572|1|train
Q06538|Q12163|1|train
Q07534|Q12163|1|train
P39935|Q12163|1|train
P38041|P38746|1|train
P38742|Q05080|1|test
P36041|P38822|1|train
P32790|P40012|1|train
P33298|P80667|1|train
P53549|P80667|1|train
P25644|P38822|1|test
P80667|Q03435|1|train
P80667|Q12206|1|test
P14242|Q06449|1|train
P37254|P40073|1|test
P39955|P43603|1|train
P38041|P40574|1|train
P32790|Q12229|1|train
P17555|P38822|1|train
P38753|P41832|1|train
P53131|P80667|1|train
P80667|Q12114|1|train
P18480|P29366|1|train
P80667|Q02651|1|train
P38604|P80667|1|train
P53260|P80667|1|train
P80667|Q00578|1|train
P80667|Q03707|1|test
A0A023PZD0|P80667|1|train
P37370|P43603|1|test
P38110|P80667|1|train
P23201|P53281|1|train
P04050|P80667|1|train
P38822|Q12168|1|train
P38822|P41832|1|train
P25604|P38822|1|test
Q05080|Q12316|1|test
Q04214|Q05080|1|test
Q05080|Q12088|1|test
Q05080|Q99337|1|test
O13535|Q05080|1|test
P14772|P38753|1|train
P15891|Q07830|1|train
Q05080|Q12400|1|test
P53145|Q07533|1|train
P15891|Q02725|1|test
P15891|Q04093|1|test
P11710|P47050|1|test
P40073|P50942|1|test
P32790|P32893|1|test
P32873|P38041|1|train
P32790|P39977|1|train
P25491|P39743|1|train
P38041|Q12027|1|test
P36002|P38822|1|train
P11710|P32353|1|train
P22543|Q07533|1|test
P46784|Q06449|1|train
P38041|P39943|1|train
P11710|Q03466|1|train
P33334|P38822|1|train
P38822|Q12451|1|test
P04050|P53281|1|train
P11710|P32337|1|train
P38814|P80667|1|test
P40021|P43603|1|train
P80667|Q06466|1|train
P32790|P47150|1|train
Q06449|Q12443|1|test
Q06449|Q12346|1|train
P48567|Q06449|1|train
Q06449|Q12243|1|train
P47068|Q03233|1|train
P13259|P47068|1|train
P34228|Q06449|1|train
P39113|Q04439|1|train
P39969|Q05471|1|test
P39969|Q08984|1|test
P33332|P39969|1|train
P39969|P53220|1|test
P39960|P39969|1|train
P53318|Q06449|1|test
P29539|P39969|1|train
P36061|Q05080|1|test
Q03619|Q05080|1|test
P43603|Q12193|1|test
Q05080|Q12193|1|test
Q04439|Q12342|1|test
P11710|Q02866|1|train
P32521|P39969|1|train
P43603|Q12112|1|test
P47129|P53281|1|train
P38224|P38753|1|train
P43603|Q12490|1|test
Q05080|Q12490|1|test
P53281|Q04636|1|test
P38789|P39969|1|test
P43603|Q04214|1|train
P00498|Q06449|1|test
Q06449|Q08745|1|train
P39969|Q12071|1|train
Q07533|Q07824|1|train
P11710|P53958|1|train
P06701|Q07533|1|train
P09119|P80667|1|train
P11710|P25580|1|train
P11710|P32909|1|test
P11710|P38954|1|test
P00899|P11710|1|train
P11710|P39705|1|train
P11710|P38691|1|train
P11710|Q08157|1|train
P11710|P36042|1|train
P11710|Q8TGK8|1|test
P34758|Q06449|1|train
P47129|Q06449|1|train
Q06449|Q12412|1|train
P32790|P48582|1|train
P53153|Q06449|1|test
Q01846|Q06449|1|train
P48582|Q06449|1|train
P40453|Q12163|1|train
P23394|P29366|1|train
P23394|Q12163|1|train
P29366|P40453|1|train
P38746|P39969|1|train
P04050|Q06449|1|train
Q06449|Q12150|1|train
P33550|P80667|1|test
Q05080|Q12112|1|test
P32790|P47068|1|train
P39743|Q07657|1|train
Q06685|Q07533|1|test
P25366|P32790|1|test
P47068|Q04991|1|train
P38090|P39743|1|train
P24814|P39743|1|test
P32381|P39743|1|train
P32801|Q07533|1|train
P47030|Q07533|1|train
P36070|P38041|1|train
P40325|Q06449|1|train
P32775|P53281|1|test
P39743|Q07824|1|train
P16892|Q07533|1|train
P29366|Q12400|1|train
P32353|P39969|1|train
P38041|Q06683|1|test
P29366|Q04329|1|train
P15891|P53281|1|train
P29366|P48415|1|train
Q05812|Q07533|1|train
P15891|Q04053|1|train
P29366|P53753|1|train
P38822|Q02606|1|test
P15891|Q06449|1|train
P53038|Q12163|1|train
P40494|P53281|1|train
P39969|Q12267|1|train
P40073|P53032|1|test
P53281|Q08412|1|train
P47068|Q12329|1|train
P39743|P53038|1|train
P31380|Q07533|1|train
P38266|Q07533|1|train
P39743|P40485|1|train
P32790|Q07533|1|test
O13535|P43603|1|train
P40020|Q07533|1|train
P43603|Q12316|1|train
Q07533|Q12446|1|train
P53118|Q07533|1|train
P36122|Q07533|1|train
P40453|Q07533|1|train
Q03868|Q07533|1|train
P40453|P53281|1|test
P29366|Q02875|1|train
P25694|P80667|1|train
Q07533|Q08003|1|test
P29366|P40519|1|train
A0A023PZD0|P53281|1|train
P34758|P38822|1|train
P41696|P53281|1|train
P39965|Q07533|1|train
Q12163|Q12753|1|train
P25583|P80667|1|train
P53281|P53882|1|train
P36006|P41695|1|test
